Дубровский тылчэн —.	Дубровский был отменно сердит.	1,00
бэел, булэнмэчинмэтын садеми, мосангилван дёромидяра.	Люди, зная об их вражде, воруют его лес {Дубровский видел, что теперь пользовались они происшедшим разрывом}.	1,00
Нунган дявавчалвэ бэелвэ дялдачан буксэкэлди идакадави, этэдэтын дёромидями, тадук мурирватын, мэннгидуви бикиттуви дукукса хаваду будэви.	Он решил побить схваченных людей прутьями, чтобы они не воровали, {решился, вопреки всем понятиям о праве войны, проучить своих пленников прутьями, коими запаслись они в его же роще,} а лошадей отдать в работу, приписав к барскому скоту.	1,00
Тэлиннгэ тырга улгур Кирила Петровичтула истан.	Слух о сем происшествии в тот же день дошел до Кирилы Петровича.	1,00
Нунган сот тыкуллан, нонон дялдачан упкатнун бэенгилнунми нгэнэнчэдэви Кистиневкала (туги матакнгин гулэсэг гэрбичивунгкин), нунганман упкатван сукчадави, мэнмэн помещиква бикиттун мурэли хакудави.	Он вышел из себя и в первую минуту гнева хотел было со всеми своими дворовыми учинить нападение на Кистеневку (так называлась деревня его соседа), разорить ее дотла и осадить самого помещика в его усадьбе.	1,00
Тадук дялин хунгтувэ дюгувэ бакаран.	Но мысли его вскоре приняли другое направление.	
Гулэливи ургэпчулди гиракталди гиркуктадяна, нунган окошколиви ичэрэн илчалвэ мурирва, хуюкукэн илэ толгокидук юксэ, сурурэн гулэлэ прикащиктула.	Расхаживая тяжелыми шагами взад и вперед по зале, он взглянул нечаянно в окно и увидел у ворот остановившуюся тройку; маленький человек {{в кожаном картузе и фризовой шинеле}} вышел из телеги и пошел {{во флигель}} к приказчику.	1,00
Троекуров тагрэн унгкилдымэчимнивэ Шабашкинма, гунэн, нунганман эмэвкэндэтын.	Троекуров узнал заседателя Шабашкина и велел его позвать.	1,00
Умукэн минута илтэнчэлэн Кирила Петрович дюлэдун Шабашкин унгкеродяна илитчачан, алатчэчан эявал оливкандан.	Через минуту Шабашкин уже стоял перед Кирилой Петровичем, отвешивая поклон за поклоном и с благоговением ожидая его приказаний.	1,00
Дорово, харги, они синэ гэрбичивкил, — гунэн нукгантыкин Троекуров, — эманни си элэ?	Здорово, как бишь тебя зовут, — сказал ему Троекуров, — зачем пожаловал?	1,00
Би городтула нгэнэдечэв,—гунэн Шабашкин, — агим, Иван Демьяновдула тылдэви экуна-вал овкатнэес.	Я ехал в город, ваше превосходительство, — отвечал Шабашкин, — и зашел к Ивану Демьянову узнать, не будет ли какого приказания от вашего превосходительства.	1,00
Со ая синнги эмэрис, они, харги, синэ гэрбичивкил: си минду сот гэлэвденни.	Очень кстати заехал, как бишь тебя зовут; мне до тебя нужда{{, выпей водки, да выслушай}}.	1,00
Миннги матакив бисин, — адыкун дуннэнгичи валалан (лэгилэн), со эрупчу бэе; би нунгандукин бикитвэн гамудям, си они тара дялдатчэнни?	У меня сосед есть, — сказал Троекуров,—мелкопоместный грубиян; я хочу взять у него имение — как ты про то думаешь?	1,00
Тар бикит окин-мал учэлэ муннги бичэн, авадыдук-вал Спициндукуниевчэ бичэн, тадук Дубровский аминдун бувчэ бичэн — эрит тургэтэнэл энги-гу он-мал тара?	Это имение принадлежало некогда нам, было куплено у какого-то Спицына и продано потом отцу Дубровского. Нельзя ли к этому придраться?	1,00
Со ургэпчу, эр униекит гугэричи биркэ?	Мудрено, ваше превосходительство; вероятно, сия продажа совершена законным порядком.	1,00
Дялдаткэл, бэе, гэлэктэкэл аямамат.	Подумай, братец, поищи хорошенько.	1,00
Си, бэе, матактукви дукугарвэ, бикичит мэндыкэтэривэн он-мал гаракис, тэли тэде….	Если бы, например, ваше превосходительствомогли каким ни есть образом достать от вашего соседа запись, в силу которой владеет он своим имением, то конечно….	1,00
Тылим, элэ со эрупчу — нунганнгилин упкачин бумагангилин дегдэчэтын, бадара бингэсин.	Понимаю, да вот беда — у него все бумаги сгорели во время пожара.	1,00
Они, бэе, дегдэчэл-гу бумагал?	Как, ваше превосходительство, бумаги его сгорели!	1,00
Туги бисикин, синду аятмар, — туги бисикин, унгкилдымэткичит си дялданэвидюпкэки гадянгас.	Чего ж вам лучше — в таком случае извольте действовать по законам, и без всякого сомнения получите ваше совершенное удовольствие.	1,00
Си тэдевэ гунденни?	Ты думаешь?	1,00
Кэ, аят, би синди бэлэгэтэдем, бэлэнэливи си миндук аяг таманмадянгас тэдекэл.	Ну, смотри же. Я полагаюсь на твое усердие, а в благодарности моей можешь быть уверен.	1,00
Шабашкин дуннэмэклэ унгкероран, тадук юрэн.	Шабашкин поклонился почти до земли, вышел вон.	1,00
Тариптыдук-та тырганидук хавалиллан дялдавчавэ.	с того же дни стал хлопотать по замышленному делу.	1,00
Нунган со бэркэ бичэн, тарит дюрдули надаллалдули Дубровский городтук дукувунма гаран, тар дукувунду нунганман эмэвкэтчэрэ улгучэндэн, они гулэсэгит Кистеневкат мэндыкэтэривэн.	и, благодаря его проворству, ровно через две недели, Дубровский получил из города приглашение доставить немедленно надлежащие объяснения насчет его владения сельцом Кистеневкою.	1,00
Андрей Гаврилович хэгдывэ тэдет улгучэндеривэ дукувунма дукуран, эми-вал тар дукувун часки эчэн элэкин биси.	Андрей Гаврилович, рассмотрев хладнокровно запросы заседателя, увидел необходимость отвечать обстоятельнее.	1,00
Кэтэ тырганил илтэнэ, унгкилдымэчин хата эчэ итымкавдяра.	Прошло несколько дней, а дело еще не разбиралось {Дело стало тянуться}.	1,00
Андрей Гаврилович, тэдедечэ нунгандун тэде бисивэн, энгкин сот хивиндяра.	Уверенный в своей правоте Андрей Гаврилович мало о нем беспокоился.	1,00
Шабашкин дялданэви хавалдячан унгкилдымэчимнилвэ нгэлэвкэтчэнэ, нунгардутын тамадяна, унгкилдын законилван (гугэрилвэн) хунгтут улгучэнденэ.	Шабашкин {{за него}} хлопотал{{, действуя от его имени}}, стращая и подкупая судей и толкуя вкрив и впрям всевозможные указы.	1,00
Он-мал бичэду, 18... аннганиду, мирэду (февральду) бегаду, 9 тырганиду, Дубровский городнгидук полициядук, эмэвкэчивунмэ дукувунма гаран.	Как бы то ни было, 18... года( февраля 9 дня, Дубровский получил через городовую полицию приглашение.	1,00
Тар дукувунду нунганман унгкилдымэчимнилэ эмэвкэтчэрэ, долчаттан унгкилдымэчин гуннэвэн поручик Дубровский генерал-аншефнун Троекуровнун булэнмэтчэривэтынбикиттулин, нунган мэннгиви дялви унгкилдымэчин гуннэдун дукудан.	[В том приглашении его заставляли] явиться к ** земскому судье для выслушания решения оного по делу спорного имения между им, поручиком Дубровским, и генерал-аншефом Троекуровым, и для подписки своего удовольствия или неудовольствия.	1,00
 Тэлиннгэ тырга Дубровский городтула сурурэн;.	В тот же день Дубровский отправился в город;	1,00
хоктоду нгэнэдерэкин, Троекуров нунганман нёрарэн.	на дороге обогнал его Троекуров.	1,00
Нунгартын мэмэгилвэр бугдыпчут ичэсилдырэ, Дубровский булэнми дэрэдун тыкупчува инемусинмэн ичэрэн.	Они гордо взглянули друг на друга, и Дубровский заметил злобную улыбку на лице своего противника.	1,00
Городтула эмэксэ, Андрей Гаврилович сарилави купецтула агрэн, аннгэттэн нунгандун.	Приехав в город, Андрей Гаврилович остановился у знакомого купца, ночевал у него.	1,00
Тэгэми-нэн тыматнэ уезднгила унгкилдымэткиттулэ эмэрэн.	и на другой день утром явился в присутствие уездного суда.	1,00
Эмэрэкин, нги-дэ эчэн ичэсинэ нунганман.	Никто не обратил на него внимания.	1,00
Амариннгадун Кирила Петрович эмэрэн, дукумнил илла, дукунгкилвар сердуливар иэрэ, унгкилдымэткит членилин арчамкара нунрганман урунчэл бинэл, дэпэмэвэ тэгэмкинмэ нунгандун эмэврэ, савунман баянман, сагдыван садеми.	Вслед за ним приехал и Кирила Петрович, писаря встали и заложили перья за ухо, члены встретили его с изъявлениями глубокого подобострастия, придвинули ему кресло из уважения к его чину, летам и дородности;	1,00
Нунган тэгэрэн уркэ ничэдеридун.	он сел при открытых дверях.	1,00
Андрей Гаврилович илитчана гулэ олдонтыкин тургэтэдечэн.	Андрей Гаврилович стоя прислонился к стенке.	1,00
Упкат симургара, дукумни игдыт дылгандиви унгкилдымэткит гуннэвэн тангиллан.	настала глубокая тишина, и секретарь звонким голосом стал читать определение суда.	1,00
Унгкилдымэткит гунэн, тар идэгэвэ генералду — аншефту Троекуровду кангкивдави: Дубровскийва эрэстэви, мэндыкэвэн Троекуровду будэви.	Суд полагает: это имущество закрепить за генерал-аншефом Троекуровым: Дубровского изгнать, а его имущество отдать Троекурову  {— ..суд полагает: означенное имение,** душ, с землею и угодьями, в каком ныне положении тое окажется, утвердить по представленной на оное купчей за генерал-аншефа Троекурова; о удалении от распоряжения оным гвардии поручика Дубровского и о надлежащем вводе во владение за него, г. Троекурова, и об отказе за него, как дошедшего ему по наследству,}.	1,00
Эр гунмувчэвэ дюлэски унгкилдымэтчэрилтыки савканивка.	[Это решение]  предписать ** земскому суду. .	1,00
Нунгарватын эривкэ, унгкилдымэткиттулэ долчаттатын эр гунмувчэвэ, дукудатын мэннгилвэр дялилвар.	Их надо позвать, чтобы послушали в суде это решение и написали свои мысли {нет у Пушкина}.	1,00
Эр гунмувчэвэ дукучатын упкат бисил тар унгкилдымэткитту.	Каковое решение подписали все присутствующие того суда.	1,00
Дукумни симургаран, заседатель иллан, тадук хэргинди унгкеродяна, Троекуровтыки гунэн, дукудан тангивчаду бумагаду.	Секретарь умолкнул, заседатель встал и с низким поклоном обратился к Троекурову, приглашая его подписать предлагаемую бумагу,.	1,00
Урунчэдери Троекуров нунгандукин дукунгкива гаран, унгкилдымэткит гуннэдун дёкилдынави дукуран.	и торжествующий Троекуров, взяв от него перо, подписал под решением суда совершенное свое удовольствие.	1,00
Дубровскийнги дукулмачинин бичэн.	Очередь была за Дубровским.	1,00
Дукумни нунгандун бумагава эмэврэн.	Секретарь поднес ему бумагу.	1,00
Эми-вал Дубровский илитчачан, энэ сомнасина, дылви унгкикэчэ бинэ.	Но Дубровский стал неподвижен, потупя голову.	1,00
Дукумни гевран гунэн нунгантыкин дёкилдынави-гу, энэви-гу дукудан.	Г. секретарь повторил ему свое приглашение подписать свое полное и совершенное удовольствие или явное неудовольствие{{, если паче чаяния чувствует по совести, что дело его есть правое, и намерен в положенное законами время просить по апеллации куда следует}}.	1,00
Дубровский хата симуладячан.	Дубровский молчал.	1,00
Умнэт дылви угиррэн, эсалин гиллэнэллэ, нунган халгандиви дуннэли иктэрэн, дукумнива бурукнэнин анаран, чернильницава чавупчарэн, нунгандин ноданчэрэн заседательва.	Вдруг он поднял голову, глаза его засверкали, он топнул ногою, оттолкнул секретаря с такою силою, что тот упал, схватив чернильницу, пустил ею в заседателя.	1,00
Упкат ичэтмэл ора.	Все пришли в ужас.	1,00
Этэечимнил янггулиндула туксара, аран тыллэ.	Сторожа сбежались на шум и насилу им овладели.	1,00
Дубровскийва тулиски юврэ, толгокиду тэгэвкэнэ.	Дубровского {его} вывели и усадили в сани.	1,00
Дубровский амариннгадун Троекуров юрэн, нунганнунин юрэ упкат унгкилдымэчимнил.	Троекуров вышел вслед за ним, сопровождаемый всем судом.	1,00
Дубровский дялдукви хирэкин, Трокуров дялин хунгтуптэн.	Внезапное сумасшествие Дубровского сильно подействовало на его воображение и отравило его торжество.	1,00
Унгкилдымэчимнил унгкилдыдечэтын дялдатчэнэл, Троекуров тамадянгаван, эситкэн нунгандукин умукэмэтъе аяя турэнэ эчэл долдыра.	Судии, надеявшиеся на его благодарность, не удостоились получить от него ни единого приветливого слова.	1,00
Троекуров тэлиннгэ тырга Покровскоела сурурэн.	Он в тот же день отправился в Покровское.	1,00
Дубровский сэктэвурдуви хата хуклэдечэн, долбонтононитки нунгандун эимдымэр оран, нунган дялдулави оран.	Дубровский между тем лежал в постеле{{; уездный лекарь, по счастию не совершенный невежда, успел пустить ему кровь, приставить пиявки и шпанские мухи}} — к вечеру ему стало легче, больной пришел в память.	1,00
Геду тырганиду нунганман городтук Кистеневкала, нунганнгилан бичэлэ, суруврэ.	На другой день повезли его в Кистеневку, почти уже ему не принадлежащую.	1,00
Ады-вал тырганил илтэнэ, эми-вал сингнипчу Дубровский авгаран хата эрупчу бичэн.	Прошло несколько времени, а здоровье бедного Дубровского всё еще было плохо.	1,00
Егоровна, ая атыркан, окин-мал нунганнгиван хутэвэн этэетчэчэ, эситкэн мэнмэн этэечиллэн.	Егоровна, добрая старуха, некогда ходившая за его сыном, теперь сделалась и его нянькою.	1,00
Андрей Гаврилович эденгэ бичэн мэннгилви дюдылва хавалвэ дялдаттэ.	Андрей Гаврилович был не в состоянии думать о своих делах, хозяйственных распоряжениях,.	1,00
Егоровна тара садеми, илмактава Дубровскийва тыливкэчэн.	и Егоровна увидела необходимость уведомить обо всем молодого Дубровского,.	1,00
Хутэн городту Петербургду военнайду службаду гвардия гиркумаду полктун бичэн.	Сын был на военной службе в гвардии пехотном полку в г. Петербурге {служившего в одном из гвардии пехотных полков и находящегося в то время в Петербурге}.	1,00
Егоровна дукувунман такса, Владимир Дубровский, эсилвэ тыливгэсэл биси дукурилва адыракакун тангчан, сот хивиндяна.	[Получив письмо Егоровны] Владимир Дубровский несколько раз сряду прочитал сии довольно бестолковые строки с необыкновенным волнением.	1,00
Аминин буденгэвэн мэдэдери дялин, меванман ургэпчут тырэтчэчэн.	Мысль потерять отца своего тягостно терзала его сердце.	1,00
Тэлиннгэ тырга нунган хивинилчан тынмудэви, дюллэли, нунган тонгнонун Гришанунми, кэлумэнунми, дюлави суручэн.	Тот же день стал он хлопотать об отпуске и через два дня пустился в дорогу на перекладных с верным своим Гришею.	1,00
Владимир Андреевич станцияла эмэдечэн, тар станциядук Кистеневкала хоктон бичэн.	Владимир Андреевич приближался к той станции, с которой должен он был своротить на Кистеневку.	1,00
Станцияла эмэксэ, нунган станция хавалимнидукин мурира ханнгуктаран.	Приехав на станцию, он вошел к смотрителю и спросил вольных лошадей.	1,00
Станция хавалимнин ханнгуктаран илэ нгэнэдеривэн, тадук гунэн — мурир Кистеневкадук унгивчэл бичэтын, нунганман алатчэчатын дыгиллэвэ.	Смотритель осведомился, куда надобно было ему ехать и объявил, что лошади, присланные из Кистеневки, ожидали его уже четвертые сутки.	1,00
Амакан Владимир Андреевичтулэ сагды нгэнэвуктэмни Антон эмэрэн.	Вскоре явился к Владимиру Андреевичу старый кучер Антон{{, некогда водивший его по конюшне и смотревший за его маленькой лошадкою}}.	1,00
Унгкероран дуннэмэклэ, тадук гунэн, холокто нунганнгин нюнгэн хата индери бисивэн, тадук туксасинан, мурира гэннэсинэн.	Антон прослезился, увидя его, поклонился ему до земи, сказал ему, что старый его барин еще жив, и побежал запрягать лошадей.	1,00
Антон нунганман мурирди суруврэн.	Антон повез его {{проселочными дорогами}}.	1,00
Нгэнэденэл улгучэмэчиллэ.	— и между ими завязался разговор.	1,00
Антон улгучэкэл, бэдунэкэл, эли аминми Троекуровнун унгкилдымэтчэчэтын.	Скажи, пожалуйста, Антон, какое дело у отца моего с Троекуровым.	1,00
Эксэри элэ тара саден, Владимир Андреевич.	А бог их ведает, батюшка Владимир Андреевич.	1,00
Нюнгэв тыкулилдычан Кирила Петровичнун.	барин, слышь, не поладил с Кирилой Петровичем.	1,00
Тар дукучан унгкилдымэткиттулэ.	, а тот и подал в суд {{— хотя по часту он сам себе судия}}.	1,00
Тар эчэ муннги хававун биси, итымкадядавун нюнгэдылвэ дялилва, хитэклэ синнги аминни Кирила Петровичва тыкунчилчан.	Не наше холопье дело разбирать барские воли, а ей-богу, напрасно батюшка ваш пошел на Кирилу Петровича: плетью обуха не перешибешь.	1,00
Би ичэттэкив, Кирила Петрович сунду упкатва омудяриливи одяран.	Так видно этот Кирила Петрович у вас делает что хочет.	1,00
Туги бинэн, нюнгэ, унгкилдымэчимнивэ нунган этта эчэ тангичара, хэгдыгу-исправник нунгандун кэлумэ, хэгдыгул нунгандулан эмэвкил унгкеронавкил.	И вестимо, барин — заседателя, слышь, он и в грош не ставит, исправник у него на посылках, господа съезжаются к нему на поклон.	1,00
Тэде-гу, нунган мундук бикитвэвун гадяран.	Правда ли, что отымает он у нас имение.	1,00
Е-е, нюнгэ, бу-дэ туги тылчэвун; мунэ нгэлэвкэтчэвкил гуннэл — эси-кэнэ гадянган сунэ нгалэлдулави Кирила Петрович.	Ох, барин, слышали таки мы — нас пугают, говоря: {на днях покровский пономарь сказал на крестинах у нашего старосты:} {{полно вам гулять}}; вот ужо приберет вас к рукам Кирила Петрович.	1,00
Су-кэ бадерэс Троекуровнгил бидэвэр.	Стало быть, вы не желаете перейти во владение Троекурову.	1,00
Эксэри бэлэкэл, халгэвдавун нунгандукин.	Во владение Кириле Петровичу! Господь упаси и избави.	1,00
Мэннгилдун илэнгилдун эрупчу бодотын, хунгтэдылвэ гами, нунган кикикталватын уллэтэйлвэ илэтчэнгэн.	— у него там и своим плохо приходится, а достанутся чужие, так он с них не только шкурку, да и мясо-то отдерет.	1,00
Экэл бурэ си мунэ, бу синиклэ дысугчэнгэвун.	Не выдавай ты нас, а мы уж за тебя станем.	0.253125
Сагды нгэнэвуктэмни турэрвэн долчачикса, Дубровский симургаран, мэнэкэн дялдачиллан.	Послушав речь старого кучера, {Тронутый преданностию старого кучера,} Дубровский замолчал — и предался своим размышлениям.	1,00
Умукэн час илтэнчэлэн, умнэт Гриша екэсиндиви (тэпкэндиви) нунганман сэриврэн: эр Покровское.	Прошло более часа—вдруг Гриша пробудил его восклицанием: Вот Покровское.	1,00
Дубровский дылви угиррэн, — нунган тагрэн эрил бикичилвэ.	Дубровский поднял голову. Он узнал сии места.	1,00
Нунган дёнан они эвиденэви эр букачанду хуюкукэннун Маша Троекуровнун, дюрди аннганилди нэкундымэр бичэнун, гудей хунат одянганун.	— он вспомнил, что на сем самом холму играл он с маленькой Машей Троекуровой, которая была двумя годами его моложе и тогда уже обещала быть красавицей.	1,00
Гулэсэгдук халчалавэр, амакан нунгартын эвури оёлон туктырэ.	Выехав из деревни, поднялись они на гору, .	1,00
Владимир ичэрэн чалбукканмэ, тадук дегиннгидэду, аглакачанду хэпкэмэвэ, гулэкэнмэ, хулама купуптычива ичэрэн.	и Владимир увидел березовую рощу, и влево на открытом месте серенький домик с красной кровлею.	1,00
Меванин сотмарит сомналлан.	; сердце в нем забилось.	1,00
Дюлэдуви Кистеневкава, тадук сингнипчувэ аминми гулэвэн ичэрэн.	Перед собою видел он Кистеневку и бедный дом своего отца.	1,00
Дяндули минуталдули нунган гулэлэви эмэрэн.	Через десять минут въехал он на барский двор.	1,00
Нунган мэндукви мурэли тыкулча бинэ ичэтчэчэн.	Он смотрел вокруг себя с волнением неописанным.	1,00
Дяндюрвэ аннганилва нунган эчэн балдыдякви ичэрэ.	Двенадцать лет не видал он своей родины.	1,00
Илэл гулэлдуквэр юрэ, илмактава нюнгэвэр мурэли илитчанал, урунчэл бинэл, янггудячатын.	Дворня высыпала из людских изб, окружила молодого барина с шумными изъявлениями радости.	1,00
Нунган, сигдэлэдуктын аран юксэ, холоктоло гулэкэн икиттулэн туктырэн.	Насилу мог он продраться сквозь их усердную толпу и взбежал на ветхое крыльцо.	1,00
Таду нунганман Егоровна арчаран, сонгодёно иргингэви кунглэрэн.	В сенях встретила его Егоровна и с плачем обняла своего воспитанника.	1,00
Дорово, дорово, энекэ, — нунган адыракакун дюптыдячан мевантыкиви атырканмэ камнитчана, он-ка ами, иду нунган? Антыт нунган?	Здорово, здорово, няня, — повторял он, прижимая к сердцу добрую старуху, — что батюшка, где он? каков он?	1,00
Тэли халатычи, авучи, гугдакакун, хэпкэмэ, дяланга этыркэн комнатала ирэн, аран халгарви угириденэ.	В эту минуту в залу вошел, насилу передвигая ноги, старик высокого роста, бледный и худой{{, в халате и колпаке}}.	1,00
Дорово Володька,.	Здравствуй, Володька.	1,00
 — нунган ембут дылганди гунэн.	— сказал он слабым голосом.	1,00
Тэли Владимир, сот урунчэ бинэ, кунглэрэн аминми.	и Владимир с жаром обнял отца своего.	1,00
Урувсипчудук энундериду ургэпчутмэр оран.	Радость произвела в больном слишком сильное потрясение.	1,00
Нунган нюмуран, халгарин маривра.	, он ослабел, ноги под ним подкосились, .	1,00
Нунган буручэ бимчэ, хутэн эсикин нунганман туручэрэ.	и он бы упал, если бы сын не поддержал его.	1,00
Этыркэнмэ акиттулан нгэнэврэ.	Старика отнесли в спальню.	1,00
Владимир аминми эрупчут авгарадин ёнча бичэн.	Владимир поражен был его состоянием.	1,00
Нунган аминми акиттун эмэнмурэн, гунэн нунгарватын аминанма эмукирвэ эмэндэтын.	Он расположился в его спальне—и просил оставить его наедине с отцом.	1,00
Андрей Гаврилович авгаран часки сотмарит эрупчутмэр одячан.	Между тем здоровье Андрея Гавриловича час от часу становилось хуже.	1,00
Владимир унэ ичэчэн аминин амакан буденгэвэн.	Владимир предвидел его скорое разрушение.	1,00
Тара садеми, этыркэндук кунгаканнгэчин очадук, энгкин илэ-дэ сурурэ.	[Зная это] и не отходил от старика, впадшего в совершенное детство.	1,00
Эми-вал унгкилдымэткит гуннэвэн унгкилдымэчин тэру илтэнчэ.	Между тем положенный срок прошел{{, и апеллация не была подана}}.	1,00
Кистеневка Троекуровду бувчэ бичэн.	Кистеневка принадлежала Троекурову.	1,00
Шабашкин нунгандулан эмэрэн унгкеродяна, урунчэ бинэ.	Шабашкин явился к нему с поклонами и поздравлениями{{ и просьбою назначить, когда угодно будет его превосходительству вступить во владение новоприобретенным имением самому или кому изволит он дать на то доверенность}}.	1,00
Кирила Петрович тыкуллан.	Кирила Петрович смутился.	1,00
Давдынан эчэн меванман урунмукэнэ.	— и победа не радовала его сердце.	1,00
Нунган неливсипчут Шабашкинтыки ичэсинэн, тадук нунгантыкин тыкупчут гунэн:.	Он грозно взглянул на Шабашкина{{, ища к чему привязаться, чтоб его выбранить, но, не нашед достаточного к тому предлога,}} сказал ему сердито:.	1,00
 — Сурукэл эдук, экэл тыкуннгитта.	Пошел вон, не до тебя.	1,00
Кирила Петрович, эмукин эмэнмуксэ, дюлэски амаски гиркукталлан кикэрикэтчэнэ.	А Кирила Петрович, оставшись наедине, стал расхаживать взад и вперед, насвистывая.	1,00
Тар сот тыкулми, нунган туги гиркулингкин.	[Когда он так ходил]{, что} всегда означало в нем необыкновенное волнение мыслей.	1,00
Тадук Кирила Петрович гунэн, нунгандулан хималэ мурира эмэвдэтын, матакин бикиттулэн хуктывденэ сурурэн.	Наконец он велел запрячь себе беговые дрожки, пустился рысью к усадьбе своего соседа.	1,00
Тулигидэмэклэн мурирди эмэрэн.	— и въехал прямо на двор.	1,00
Нунган дялдачан, холоктонун матакнунми аяралдыдави, нунгандун упкатван тагдысиннави бикитвэн мучувдави.	Он решился помириться с старым своим соседом, уничтожить и следы ссоры, возвратив ему его достояние.	1,00
Тэли энундери окошкоду тэгэтчэчэн.	В это время больной сидел в спальней у окна.	1,00
Нунган Кирила Петровичва тагрэн, дэрэн неливсипчут хунгтуптэн.	Он узнал Кирила Петровича, и ужасное смятение изобразилось на лице его .	1,00
Энундери умукэчэндиви тулигидэтки нунгнитчэчэн, дэрэн неливсипчут тыкупчу бичэн.	Больной указывал пальцем на двор с видом ужаса и гнева.	1,00
Нунган дэпэмэдук тэгэмкиндукви илиссадякса умнэт бурурэн.	Он торопливо подбирал полы своего халата, собираясь встать с кресел, приподнялся и вдруг упал.	1,00
Хутэн нунгандулан туксанчаран, этыркэн, мэдэгэе ачин, эринэ ачин бинэ хуклэдечэн — паралич нунганман тыкчэ бичэн.	Сын бросился к нему, старик лежал без чувств и без дыхания — паралич его ударил.	1,00
Кирила Петрович синэ ханнгуктадяран, — иксэ гунэн кэлумэ.	Кирила Петрович спрашивает вас, — сказал вошедший слуга.	1,00
Владимир нунгантыкин неливсипчут ичэсиктэтви эчэнэн.	Владимир бросил на него ужасный взгляд.	1,00
Кирила Петровичтыки гукэл, химат нунган суругин, эделив нунганман тулигидэдук эрэсивкэнэ — сурукэл.	Скажи Кириле Петровичу, чтоб он скорее убирался, пока я не велел его выгнать со двора — пошел.	1,00
Кэлумэ урувсипчут туксасинан нюнгэн гуннэвэн улгучэндэви.	Слуга радостно побежал исполнить приказание своего барина.	1,00
Кирила Петрович толгокиду тэгэтчэнэ, долчаттан нунганман.	Кирила Петрович выслушал его, сидя на дрожках.	1,00
Дэрэн туксучидук долбонидук хактырдымар оран.	лицо его стало мрачнее ночи,.	1,00
Нунган тыкундяна инемусинэн, илэлвэ неливсипчут ичэсинэн, тадук, тулигидэли гиркумавканденэ, мурирди сурурэн.	он с презрением улыбнулся, грозно взглянул на дворню и поехал шагом около двора.	1,00
Умнэт Владимир илэл сигдэлэлэтын эмэрэн, силгиндерит дылгандиви гунэн:.	Вдруг Владимир явился между людьми и отрывисто сказал:.	1,00
— ами ачин оча (мэкчэрэчэ).	: — {{Не надобно лекаря,}} батюшка скончался.	1,00
Илидутын тырганиду бунивэ нэлчэтын.	Похороны совершились на третий день.	1,00
Кистеневкангил крестьянисал церковьва дялупкичал, элэвэр унгкеронмар мэннгидувэр нюнгэдувэр будэвэр.	Церковь полна была кистеневскими крестьянами, пришедшими отдать последнее поклонение господину своему.	1,00
Илмакта Дубровский эчэн сонгодёро-вол, эксэритки унгкеродяра-вал, эми-вал дэрэн неливсипчу бичэн.	Молодой Дубровский стал у клироса; он не плакал и не молился — но лицо его было страшно.	1,00
Этэрэ хиргэдеми.	Печальный обряд кончился.	1,00
Владимир тадук илан кэлумэл авсаду нюнгэвэр нгалисина бунируктулэ, упкат илэл нгэнэлдыдечэтын.	Владимир первый пошел прощаться с телом — за ним и все дворовые.	1,00
Авсаван чэпкэкэду эирэ.	принесли крышку и заколотили гроб.	1,00
Чэпкэкэвэ дуннэдэрэ, тадук упкат сурувэттэ.	Гроб опустили в могилу {{— все присутствующие бросили в нее по горсти песку — яму засыпали, поклонились ей, }}и разошлись.	1,00
Владимир хэлинди упкатва нёрарэн, мосаду халлэн.	Владимир поспешно удалился, всех опередил и скрылся в Кистеневскую рощу.	1,00
Гиркундиви, дэрукситви тыкупчуви омнгодови, Владимир мосала сигикагдула гороллон.	Владимир углублялся в чащу дерев, движением и усталостию стараясь заглушать душевную скорбь.	1,00
Гиркундиви, дэрукситви тыкупчуви омнгодови, Владимир мосала сигикагдула гороллон.	Владимир углублялся в чащу дерев, движением и усталостию стараясь заглушать душевную скорбь.	1,00
Нунган энэ хоктово тыличэрэ нгэнэдечэн.	Он шел, не разбирая дороги.	1,00
